Date,Open,High,Low,Close,Adj Close,Volume
2011-10-31,1450.000000,1461.849976,1435.000000,1452.050049,1341.234497,1602
2011-11-01,1459.099976,1459.099976,1436.000000,1451.599976,1340.818726,1713
2011-11-02,1470.000000,1524.699951,1469.000000,1475.250000,1362.663818,1881
2011-11-03,1467.000000,1509.000000,1467.000000,1501.650024,1387.049072,3132
2011-11-04,1465.000000,1535.000000,1465.000000,1527.150024,1410.602905,3081
2011-11-08,1526.550049,1550.000000,1519.949951,1531.099976,1414.251587,1737
2011-11-09,1549.900024,1549.900024,1506.000000,1525.099976,1408.709351,2150
2011-11-11,1525.000000,1575.000000,1505.000000,1525.400024,1408.986572,21653
2011-11-14,1530.000000,1545.250000,1510.000000,1516.750000,1400.996704,10506
2011-11-15,1511.500000,1528.099976,1495.000000,1515.650024,1399.980591,2874
2011-11-16,1492.050049,1510.000000,1475.000000,1502.449951,1387.788086,2443
2011-11-17,1500.000000,1514.000000,1481.000000,1502.000000,1387.372192,1270
2011-11-18,1490.000000,1509.449951,1473.000000,1484.000000,1370.745972,1967
2011-11-21,1475.000000,1510.000000,1475.000000,1500.750000,1386.217651,2636
2011-11-22,1486.000000,1496.000000,1486.000000,1493.949951,1379.936890,1635
2011-11-23,1475.000000,1500.000000,1458.949951,1460.800049,1349.316650,796
2011-11-24,1444.000000,1479.849976,1402.050049,1473.550049,1361.093506,454
2011-11-25,1444.400024,1473.000000,1441.000000,1460.050049,1348.624023,99
2011-11-28,1470.000000,1485.000000,1450.000000,1480.650024,1367.651611,2565
2011-11-29,1475.000000,1500.000000,1465.250000,1495.400024,1381.276245,668
2011-11-30,1505.000000,1505.000000,1461.000000,1466.150024,1354.258423,463
2011-12-01,1499.900024,1499.900024,1450.050049,1459.800049,1348.392944,255
2011-12-02,1498.800049,1498.800049,1465.050049,1469.449951,1357.306152,214
2011-12-05,1489.949951,1489.949951,1453.050049,1457.500000,1346.268555,454
2011-12-07,1470.000000,1499.949951,1462.000000,1487.250000,1373.748047,5609
2011-12-08,1485.050049,1485.050049,1451.050049,1461.400024,1349.870850,393
2011-12-09,1487.500000,1487.500000,1461.000000,1474.099976,1361.601563,995
2011-12-12,1465.099976,1490.000000,1455.150024,1480.599976,1367.605469,1033
2011-12-13,1460.949951,1480.000000,1451.050049,1453.500000,1342.573608,235
2011-12-14,1477.000000,1477.000000,1435.000000,1439.800049,1329.919067,772
2011-12-15,1431.000000,1459.550049,1400.000000,1450.849976,1340.125854,1997
2011-12-16,1436.000000,1480.000000,1425.050049,1449.900024,1339.248291,1032
2011-12-19,1407.050049,1448.699951,1401.000000,1401.650024,1294.680786,491
2011-12-20,1405.000000,1458.900024,1381.000000,1430.550049,1321.375000,2341
2011-12-21,1429.949951,1471.000000,1409.050049,1448.400024,1337.862915,951
2011-12-22,1430.199951,1477.949951,1410.000000,1427.349976,1318.419312,553
2011-12-23,1439.900024,1465.000000,1437.949951,1451.400024,1340.633911,528
2011-12-26,1483.000000,1483.000000,1411.500000,1431.849976,1322.575684,388
2011-12-27,1422.000000,1452.949951,1420.000000,1423.400024,1314.770996,349
2011-12-28,1411.250000,1457.000000,1411.250000,1451.550049,1340.772705,2064
2011-12-29,1459.949951,1463.000000,1453.099976,1460.199951,1348.762329,1067
2011-12-30,1440.550049,1465.000000,1405.000000,1460.900024,1349.408813,2376
2012-01-02,1442.000000,1470.000000,1442.000000,1467.250000,1355.274414,376
2012-01-03,1440.050049,1475.000000,1440.050049,1450.699951,1339.987061,864
2012-01-04,1479.000000,1479.000000,1441.050049,1446.199951,1335.830933,327
2012-01-05,1468.949951,1468.949951,1440.050049,1445.349976,1335.045654,573
2012-01-06,1475.000000,1475.000000,1440.000000,1445.000000,1334.722290,323
2012-01-07,null,null,null,null,null,null
2012-01-09,1452.000000,1452.000000,1430.000000,1445.750000,1335.415283,255
2012-01-10,1404.400024,1475.000000,1391.199951,1460.949951,1349.455078,3940
2012-01-11,1432.000000,1475.000000,1432.000000,1446.750000,1336.338745,716
2012-01-12,1442.000000,1459.949951,1442.000000,1446.849976,1336.431030,396
2012-01-13,1432.150024,1471.150024,1425.050049,1431.150024,1321.929321,862
2012-01-16,1430.000000,1447.949951,1420.000000,1439.800049,1329.919067,350
2012-01-17,1430.000000,1495.000000,1430.000000,1483.150024,1369.960938,2445
2012-01-18,1483.000000,1485.000000,1470.000000,1477.449951,1364.696167,679
2012-01-19,1454.150024,1487.849976,1454.150024,1479.300049,1366.404907,1185
2012-01-20,1489.949951,1490.000000,1471.050049,1478.650024,1365.804443,1922
